,Article,Wort,Word
414,der,"Lockenwickler, -X",hair curlers
415,der,"Lärm, -X",noise
416,der,"Löffel, -",spoon
417,der,"Löwe, -n",lion
418,der,"Mais, -X",corn
419,der,"Maiskolben, -X",corncob
420,der,"Maurer, -",bricklayer
421,der,"Mediabericht, -e",media report
422,der,"Meeresblick, -e",seaside view
423,der,"Mensch, -en",humans
424,der,"Mond, -e",the moon
425,der,"Mord, -er",murder
426,der,"Morgenmantel, -",housecoat
427,der,"Mulleimer, -",trash bin
428,der,"Mund, ¨-er",mouth
429,der,"Musiker, -, die Musikerin, -nen",musician
430,der,"Muskel, -n",muscle
431,der,"Mut, -X","courage, pluck"
432,der,"Nabel, -",navel
433,der,"Nachbar, -, die Nachbarin, -nen",neighbor
434,der,"Nachteil, -e",disadvantage
435,der,"Name, -n",name
436,der,"Nebel, -","fog, mist"
437,der,"Nord, Süd, Ost, West","North, South, East and West"
438,der,"Notausgang, -¨e",emergency exit
439,der,"Nu, -X",no time
440,der,"Nudelsalat, -e",pasta salad
441,der,"Oberkörper, -",upper body
442,der,"Oberschenkel, -",thigh
443,der,"Ochse, -n",ox
444,der,"Ofen, -¨",oven
445,der,"Ort, -¨er",place
446,der,"Orthopäde, -n",orthopedist
447,der,"Pantoffelheld, -en","hen pecked husband, i.e. Slipper bound"
448,der,"Papagei, -en",parrot
449,der,"Paprika, -X",bell peppers
450,der,"Park, -s",park
451,der,"Partner, -, die Partnerin, -nen",partner
452,der,"Pass, -¨e",passport
453,der,"Pfeffer, -",pepper
454,der,"Pfirsich, -e",peach
455,der,"Pilz, -e",mushroom
456,der,"Pinsel, -",brush
457,der,"Plünderer, -","raider, plunderer"
458,der,"Psychiater, -",psychiatrist
459,der,"Pullover, -s",a sweater
460,der,"Quark, -",sour cream
461,der,"Rabe, -n",raven
462,der,"Rahmen, -",frame
463,der,"Rand, -¨er",edge
464,der,"Rat, -X",advice
465,der,"Raum, -¨e","space, room"
466,der,"Rechtsstreit, -e",legal dispute
467,der,"Regenschirm, -e",umbrella
468,der,"Respekt, -X",respect
469,der,"Rest, -e",the rest
470,der,"Retter, die Retterin","rescuer, savior"
471,der,"Rettich, -e",radish
472,der,"Rhythmus, -",rhythm
473,der,"Riese, -n",giant
474,der,"Ring, -e",ring
475,der,"Ritter, -",knight
476,der,"Rock, -¨e",skirt
477,der,"Roller, -",scooter
478,der,"Ruhm, x",glory
479,der,"Rumpf, -¨e","body core, trunk"
480,der,"Rücken, -","the back, spine"
481,der,"Sack, -¨e",sack
482,der,"Saft, -¨e",juice
483,der,"Salat, -e",lettuce
484,der,"Sand, -e",sand
485,der,"Sandstrand, -¨e",sandy beach
486,der,"Schal, -e","scarf, shawl"
487,der,"Schalter, -","counter, switch"
488,der,"Schatz, -¨e","treasure, sweetheart"
489,der,"Schein, -e","paper money, bill"
490,der,"Schimpf, -","insult, affront"
491,der,"Schinken, -",ham
492,der,"Schirm, -e","shield, screen"
493,der,"Schlitten, -","sled, sledge"
494,der,"Schlitz, -e","slot, slit"
495,der,"Schluck, -e","of liquid, a drink, a swallow, a drop"
496,der,"Schlüssel, -",key
497,der,"Schmeichler, -",flatterer
498,der,"Schmerz, -en",pain
499,der,"Schmetterling, -e",butterfly
500,der,"Schmuck, -e",jewelry
501,der,"Schnabel, -¨",beak
502,der,"Schnupften, -",a cold
503,der,"Schrank, -¨e","cupboard, wardrobe"
504,der,"Schrei, -e",scream
505,der,"Schwager, die Schwägerin","brother in law, sister in law"
506,der,"Schwan, -¨e",swan
507,der,"Schwerpunkt, -e",center of gravity
508,der,"Schäferhund, -e",german shepherd
509,der,"Schönheitschirurg, -en",plastic surgeon
510,der,"Seite, -n","side, page"
511,der,"Senf, -e",mustard
512,der,"Sessel, -",armchair
513,der,"Seufzer, -",sigh
514,der,"Sklave, -n die Sklavin",slave
515,der,"Sohn, -¨e","son, sons"
516,der,"Spinat, -",spinach
517,der,"Spitzer, -",pencil sharpener
518,der,"Sprecher, -, die Sprecherin, -nen",speaker
519,der,"Staat, -en","state, country"
520,der,"Stab, -¨e","stick, pole"
521,der,"Stabhochsprung, -e",pole vaulting
522,der,"Stadtplan, -¨e","city plan, map"
523,der,"Stadtteil, -e",city district
524,der,"Stamm, -¨e","tree trunk, tribe, clan"
525,der,"Stand, -¨e","stand, counter"
526,der,"Stapel, -","pile, stack"
527,der,"Stau, -e",traffic jam
528,der,"Stern, -¨e",stars
529,der,"Steward, die Stewardess",airline stewardess
530,der,"Stich, -e",stitch
531,der,"Stiefel, -",boot
532,der,"Stier, -e","A steer, a bull"
533,der,"Stift, -e","pen, pin, peg"
534,der,"Stock, -¨e",cane
535,der,"Stoff, -e","fabric, material"
536,der,"Stolz, -",pride
537,der,"Stoß, -¨e","push, shove, punch"
538,der,"Strafzettel, -","parking ticket, etc."
539,der,"Strand, -¨e",beach
540,der,"Strauch, -¨er",shrubbery
541,der,"Strauss, -¨e",ostrich
542,der,Straßenrand,roadside
543,der,"Streifschar, -en",raiding party
544,der,"Streit, -e","argument, quarrel, dispute"
545,der,"Strom, -¨e",river
546,der,"Supermarkt, -¨e",supermarket
547,der,"Suppenteller, -",soup bowl
548,der,"Synthesizer, -s",synthesizer
549,der,"Sünder , -, die Sünder in, -nen",sinner
550,der,"Tagtraum, -¨e",daydream
551,der,"Takt, -e","(music) - bar, time"
552,der,"Taschenrechner, -",calculator
553,der,"Teddybär, -en",teddy bear
554,der,"Tee, -s",tea
555,der,"Teich, -e",pond
556,der,"Teller, -",plate
557,der,"Teppich, -e","carpeting, flooring"
558,der,"Termin, -e",official appointment
559,der,"Tintenfisch, -e","inkfish - i.e. Squid, octopus, etc."
560,der,"Tisch, -e",table
561,der,"Tod, -e",death
562,der,"Topf, -¨e",pot
563,der,"Torhüter, -, die Torhüterin, -nen",goalie
564,der,"Trainer, die Trainerin",trainer
565,der,"Traumurlaub, -e",dream vacation
566,der,"Trauzeuge, -n",witness at a marriage ceremony
567,der,"Tresor, -e","a safe, lockbox, etc."
568,der,"Tropfen, -X",drops
569,der,"Trubel, x",turbulence
570,der,"Tumor, -en","tumor, growth"
571,der,"Turm, -¨e",tower
572,der,"Umzug, -¨e","parade, relocation, move"
573,der,"Unfall, -¨e","accident, wreck"
574,der,"Unterkörper, -",lower body
575,der,"Unterricht, -e","class, lesson, instructions"
576,der,"Unterschied, -e","difference, variation"
577,der,"Verein, -e","official club, organization"
578,der,"Verkäufer,-, die Verkäuferin, -nen",shopkeeper
579,der,"Verlust, -e",loss
580,der,"Verräter, -, die Verräterin, -nen",traitor
581,der,"Vers, -e",verse
582,der,"Verstärker, -",amplifier
583,der,"Vertrieb, -e",sales
584,der,"Videorekorder , -s",videorecorder
585,der,"Vorhang, -¨e",curtains
586,der,"Vormittag, -en",the morning
587,der,"Vorschlag, -¨e","proposal, suggestion"
588,der,"Vorstand, -¨e",the board (of directors)
589,der,"Vorstandsvorsitzende, -","corporate president, head of the board"
590,der,"Vorteil, -e",advantage
591,der,"Wagen, -","car, truck, etc."
592,der,"Wald, -¨er",forest
593,der,"Wart, -e",attendant
594,der,"Wasserhahn, -¨e",faucet
595,der,"Wecker, -",alarm clock
596,der,"Weg, -e",path
597,der,"Wein, -e",wine
598,der,"Weinkeller, -",wine cellar
599,der,"Weizen, -",wheat
600,der,"Weltraum, -¨e",the universe
601,der,"Wert, -e","worth, value"
602,der,"Wettbewerb, -X",competition
604,der,"Wettlauf, -x",race
605,der,"Whirlpool, -s","whirlpool, jacuzzi"
606,der,"Winkel, -",angle
607,der,"Wirbel, -","whirl, whirlpool (im FluÃ etc.)"
608,der,"Witz, -e","joke, wit."
609,der,"Wunsch, -¨e",wish
610,der,"Wäscheständer , -",clothes drying rack
611,der,"Zahn, -¨e","tooth, teeth"
612,der,"Zahnstocher, -n",toothpick
613,der,"Zauber, -X",magic
614,der,"Zaun, -¨e",fence
615,der,"Zeigefinger, -","pointing finger, index finger"
616,der,"Zerstörer, -",the destroyer
617,der,"Zipfel, -","corner, point"
618,der,"Zoll, -¨e","tax, fee, toll, customs duty"
619,der,"Zoo, -s",zoo
620,der,"Zucker, -",sugar
621,der,"Zweig, -e",twig
622,der,"Übersetzer,-, die Übersetzerin, -nen",translator
623,die,"Abhängigkeit, -en","addiction, dependence"
624,die,"Abteilung, -en",department
625,die,"Abwicklung, -en","liquidation, phaseout"
626,die,"Ader , -n",artery
627,die,"Ahnung, -","suspicion, hunch"
628,die,"Alge, -n",algae
629,die,"Ampel, -n",stop light
630,die,"Anbetung, x","worship, adoration"
631,die,"Anfangsgründe, -X",elements (wie in chemie)
632,die,"Angst, -¨e",axiety
633,die,"Anhöhe, -n","bank, hill"
634,die,"Anklage, -n","charge, - legal"
635,die,"Ankunft, -¨e",arrival
636,die,"Apfelsine, -n","orange, orange tree"
637,die,"Apotheke, -n","chemist, drug store"
638,die,"Aprikose, -n",apricot
639,die,"Armlehne, -n",armrest
640,die,"Art, -en","kind, sort, type"
641,die,"Atmung, -X","respiration, breathing"
642,die,"Auflage, -n","edition, imprint"
643,die,"Augenbraue, -n",eyebrows
644,die,"Ausnahme, -n",exception
645,die,"Autobahn, -en","autobahn, freeway"
646,die,"Backspacetaste, -n",backspace key
647,die,"Backware, -n",baked goods
648,die,"Badesachen, -",bathing things
649,die,"Badewanne, -n",bathtub
